1,Caffè Americano,Americano,Medium,3.25,Dark,Latin America,false,50,Espresso,caf9a748-2b25-492a-9080-56a0e30999f2.jpeg,Roasted;Nutty
2,Flat White,Flat White,Medium,4.25,Medium,Latin America,true,50,Espresso,97c6e126-c2d4-47ae-9490-85849ad1691a.jpeg,Caramel;Nutty
3,Iced Caramel Macchiato,Latte,Large,5.45,Medium,Latin America,true,50,Espresso,880e4e89-4dab-4512-b67f-4c2b6a5eef2a.jpeg,Roasted;Caramel
4,Caffè Mocha,Mocha,Medium,4.75,Dark,Asia-Pacific,true,50,Espresso,e0dec389-5198-4457-96e7-105b9e8590eb.jpeg,Chocolate;Roasted
5,Cappuccino,Cappuccino,Medium,3.95,Medium,Latin America,true,50,Espresso,d1d8097f-d777-4c6d-9869-d43994b99c7d.jpeg,Roasted;Nutty
6,Nitro Cold Brew,Iced Coffee,Medium,4.95,Medium,Africa,true,50,Filter,ee5adc20-c5a8-4afe-814e-218e561fc616.jpeg,Chocolate;Roasted
8,Espresso Con Panna,Espresso,Small,2.95,Dark,Asia-Pacific,true,50,Espresso,13674c8a-507f-4056-946e-442d6da62be5.jpeg,Roasted
9,Blonde Roast Brewed Coffee,Americano,Medium,2.75,Light,East Africa,true,50,Drip,b5ce0a18-c03c-4310-b117-6d935695592b.jpeg,Herbal
10,White Chocolate Mocha,Mocha,Medium,5.25,Dark,Asia Pacific,true,50,Espresso,8a8dc1ee-c139-43a7-b07c-8670a4288325.jpeg,Chocolate;Caramel
11,Vanilla Sweet Cream Cold Brew,Iced Coffee,Medium,5.25,Medium,Latin America,false,50,Drip,e2c9cf19-4e17-4e97-ae4f-b5d312b7ab39.jpeg,Caramel
